0x1108 timeHour
0x1109 timeHourLow
0x110A timeHourHigh
0x1110 timeMinute
0x1111 timeMinuteLow
0x1112 timeMinuteHigh
0x1118 timeSecond
0x1119 timeSecondLow
0x111A timeSecondHigh
0x1120 timeCentiSecond
0x1121 timeCentiSecondLow
0x1122 timeCentiSecondHigh
0x1208 dateYear
0x1209 dateYearDigit1
0x120A dateYearDigit2
0x120B dateYearDigit3
0x120C dateYearDigit4
0x1210 dateMonth
0x1211 dateMonthLow
0x1212 dateMonthHigh
0x1218 dateDay
0x1219 dateDayLow
0x121A dateDayHigh
0x1220 dateWeek
0x1228 dateLunarYear
0x1230 dateLunarMonth
0x1238 dateLunarDay
0x1258 dateWeekStringShortCN
0x1259 dateWeekStringFullCN
0x125A dateWeekStringFullPascalEN
0x125B dateWeekStringFullUpperEN
0x125C dateWeekStringFullLowerEN
0x125D dateWeekStringShortPascalEN
0x125E dateWeekStringShortUpperEN
0x125F dateWeekStringShortLowerEN
0x1260 dateMonthStringShortCN
0x1261 dateMonthStringFullPascalEN
0x1262 dateMonthStringFullUpperEN
0x1263 dateMonthStringFullLowerEN
0x1264 dateMonthStringShortPascalEN
0x1265 dateMonthStringShortUpperEN
0x1266 dateMonthStringShortLowerEN
0x1308 miscIsAM
0x1310 miscIsPM
0x1318 miscIs24H
0x2108 healthStepCount
0x2109 healthStepCountDigit1
0x210A healthStepCountDigit2
0x210B healthStepCountDigit3
0x210C healthStepCountDigit4
0x210D healthStepCountDigit5
0x2110 healthStepProgress
0x2118 healthStepKiloMeter
0x2208 healthHeartRate
0x2210 healthHeartRateZone
0x2218 healthHeartRateMin
0x2220 healthHeartRateMax
0x2308 healthCalorie
0x2308 healthCalorieValue
0x2310 healthCalorieProgress
0x2408 healthStandCount
0x2410 healthStandProgress
0x2508 healthOxygenSpO2
0x2608 healthPressureIndex
0x2708 healthBloodDiastolicPressureMmhg
0x2710 healthBloodSystolicPressureMmhg
0x2718 healthBloodDiastolicPressureKpa
0x2720 healthBloodSystolicPressureKpa
0x2728 healthBloodPressureUnit
0x2808 healthSleepDuration
0x2800 healthSleepDurationMinute
0x2810 healthSleepScore
0x2820 healthSleepQuality
0x2818 healthSleepTargetProgress
0x2908 healthExerciseDuration
0x2910 healthExerciseProgress
0x2A08 healthEnergyConsumed
0x2B08 healthMiscRecoveryTime
0x2B10 healthMiscRunPowerIndex
0x2B18 healthMiscTodayVitalityValue
0x2B20 healthMiscSevenDaysVitalityValue
0x31B0 weatherCurrentSunRiseHour
0x31B8 weatherCurrentSunRiseMinute
0x31C0 weatherCurrentSunSetHour
0x31C8 weatherCurrentSunSetMinute
0x3108 weatherTemperatureUnit
0x3120 weatherCurrentTemperature
0x31D0 weatherCurrentTemperatureFahrenheit
0x3118 weatherCurrentTemperatureFeel
0x3128 weatherCurrentHumidity
0x3130 weatherCurrentWeather
0x31A8 weatherCurrentWindDirection
0x3138 weatherCurrentWindAngle
0x3140 weatherCurrentWindSpeed
0x3148 weatherCurrentWindLevel
0x3150 weatherCurrentAirQualityIndex
0x3158 weatherCurrentAirQualityLevel
0x3160 weatherCurrentChanceOfRain
0x3168 weatherCurrentPressure
0x3170 weatherCurrentVisibility
0x3178 weatherCurrentUVIndex
0x3180 weatherCurrentDressIndex
0x3218 weatherTodayTemperatureMax
0x3220 weatherTodayTemperatureMin
0x3268 weatherTodayTemperatureMaxFahrenheit
0x3270 weatherTodayTemperatureMinFahrenheit
0x3318 weatherTomorrowTemperatureMax
0x3320 weatherTomorrowTemperatureMin
0x3368 weatherTomorrowTemperatureMaxFahrenheit
0x3370 weatherTomorrowTemperatureMinFahrenheit
0x4108 systemStatusBattery
0x4110 systemStatusCharge
0x4118 systemStatusDisturb
0x4120 systemStatusBluetooth
0x4128 systemStatusWifi
0x4130 systemStatusScreenLock
0x4208 SystemSensorFusionAltitude
0x5108 AppAlarmHour
0x5110 AppAlarmMinute
